stamp_sec,stamp_nsec,x,y,z
1785071696,683964797,0.010021,0.043070,0.888490
1785071774,807745201,0.000163,0.073961,0.882408
1785071776,410339838,-0.003478,0.044190,0.890466
1785071779,508164967,-0.002843,0.006260,0.879674
1785071783,103671782,-0.032691,0.019537,0.871693
1785071791,89541946,-0.033990,-0.008684,0.882205
1785071793,695371210,-0.049570,-0.040317,0.889542
1785071794,190354200,-0.020923,-0.036623,0.898740
1785071795,689064494,-0.031921,-0.071597,0.890113
1785071796,489131942,0.001329,-0.081905,0.907995
1785071796,887704668,0.014881,-0.045600,0.944692
1785071797,89014739,0.010389,-0.040879,0.983839
1785071797,286979527,-0.008671,-0.021212,1.037423
1785071797,387244839,-0.009280,-0.011863,1.067091
1785071797,487661407,-0.015170,-0.003848,1.098713
1785071797,586357066,-0.029412,0.000129,1.128963
1785071797,683870417,-0.042239,-0.001814,1.159892
1785071797,785004637,-0.051139,-0.002184,1.188787
1785071797,885805660,-0.071357,-0.005602,1.212682
1785071798,185738410,-0.135590,-0.045499,1.264341
1785071798,284934985,-0.159366,-0.072013,1.277512
1785071798,483906381,-0.188287,-0.098823,1.301882
1785071798,789876302,-0.201225,-0.117124,1.323781
1785071799,385885622,-0.159203,-0.114807,1.335017
1785071799,581520551,-0.130533,-0.104322,1.333411
1785071799,883287040,-0.097566,-0.095647,1.331640
1785071800,283058850,-0.046647,-0.078684,1.325417
1785071801,182948521,-0.062751,-0.107518,1.313517
1785071802,179935216,-0.034511,-0.079604,1.323805
1785071803,80294690,-0.005944,-0.063949,1.330174
1785071803,181369503,0.025097,-0.035661,1.330692
1785071803,280978310,0.053597,-0.020512,1.332123
1785071803,680100373,0.076048,-0.048555,1.339052
1785071804,80115584,0.043381,-0.074502,1.334208
1785071804,279866630,0.010306,-0.092674,1.330564
1785071804,580003114,-0.016455,-0.117229,1.329223
1785071804,980272412,-0.037277,-0.148465,1.328163
1785071806,676791067,-0.043429,-0.168454,1.351612
1785071807,870190370,-0.008040,-0.173366,1.339580
1785071808,71206167,-0.043443,-0.180840,1.336225
1785071808,875188558,-0.054682,-0.152382,1.343093
1785071812,470827596,-0.082062,-0.137732,1.342607
1785071814,171921588,-0.065987,-0.107316,1.336023
1785071815,67381281,-0.041407,-0.086257,1.333199
1785071817,764561021,-0.070760,-0.088556,1.347138
1785071819,563589732,-0.069753,-0.116725,1.335904
1785071823,755814247,-0.058871,-0.087101,1.337504
1785071826,755731444,-0.042003,-0.059381,1.351404
1785071830,453426990,-0.013508,-0.047348,1.342559
1785071831,51704855,0.011893,-0.027395,1.343601
1785071831,450598875,0.042226,0.000939,1.343787
1785071832,153057689,0.068924,-0.014002,1.360300
1785071832,550871008,0.059758,-0.062937,1.361826
1785071833,146944066,0.076583,-0.020094,1.353281
1785071833,445908696,0.096714,0.012201,1.353430
1785071834,650409721,0.148124,0.047392,1.354542
1785071834,949125948,0.171808,0.074362,1.349465
1785071835,446537811,0.196868,0.100894,1.350996
1785071835,747360050,0.224949,0.118017,1.358124
1785071835,945238073,0.256221,0.131194,1.361306
1785071836,144393811,0.300904,0.146555,1.361067
1785071836,444016334,0.330470,0.136993,1.362266
1785071837,145079007,0.314610,0.168475,1.350450
1785071837,642899435,0.303902,0.195920,1.361014
1785071838,140262780,0.321206,0.230123,1.371889
1785071838,440007782,0.334440,0.246914,1.405850
1785071838,741063682,0.335514,0.250212,1.463613
1785071838,942441706,0.344305,0.261358,1.506039
1785071839,146009426,0.350617,0.261683,1.559253
1785071839,342335462,0.353575,0.265551,1.613798
1785071839,542522548,0.357245,0.273205,1.670596
1785071839,742393048,0.359177,0.280214,1.724141
1785071840,40084666,0.360406,0.288970,1.785059
1785071840,437918076,0.361260,0.287998,1.829212
1785071841,440466193,0.348072,0.299043,1.785053
1785071841,940114638,0.340077,0.295736,1.743160
1785071842,538288870,0.332243,0.298966,1.712319
1785071845,733237977,0.355871,0.318965,1.704322
1785071846,32679558,0.337230,0.301692,1.629511
1785071846,233461871,0.336410,0.297113,1.580806
1785071846,636191752,0.348792,0.277953,1.537981
1785071847,135736474,0.346998,0.241848,1.518135
1785071847,437292825,0.323554,0.226143,1.475670
1785071847,835247490,0.313294,0.227157,1.445529
1785071848,236093539,0.292339,0.225117,1.395812
1785071848,432583719,0.301466,0.233111,1.368000
1785071849,432776195,0.286195,0.245942,1.406647
1785071849,634796964,0.278568,0.250889,1.445240
1785071849,833755000,0.283502,0.250766,1.475810
1785071850,832380953,0.269391,0.254064,1.445129
1785071851,235010353,0.262705,0.240511,1.418212
1785071853,229005287,0.262614,0.242728,1.455191
1785071853,628925650,0.258511,0.220050,1.517091
1785071853,929265488,0.258054,0.211392,1.563936
1785071854,328390645,0.237768,0.200448,1.527959
