[INFO] [1784801545.691634751] [vertical_lidar_mapper]: vertical_lidar_mapper started. scan_topic='/scan_vertical' target_frame='odom' local_voxel=0.100 global_voxel=0.050 global_cap=1000000
[INFO] [1784801545.691978500] [vertical_lidar_mapper]: Global integration mode: keyframe (keyframe_min_translation=0.050m keyframe_min_yaw=0.040rad keyframe_max_interval=0.200s max_keyframes=10000).
[INFO] [1784801545.692007872] [vertical_lidar_mapper]: Full-pose deskew: enabled (required=true odom_topic='/mavros/local_position/odom' odom_frame='odom' stamp_reference='start' pose_gap<=0.100s output='/vertical_points_deskewed').
[INFO] [1784801545.692039706] [vertical_lidar_mapper]: Map-rebase: disabled (map_frame='map' odom_frame='odom' trans_th=0.080m yaw_th=0.040rad)
[INFO] [1784801545.692054651] [vertical_lidar_mapper]: Relative-pose gate: disabled (map='map' odom='odom' trans_err_th=0.080m yaw_err_th=0.060rad min_motion=0.030m max_map_step=0.250m max_map_yaw=0.150rad)
[INFO] [1784801545.692073540] [vertical_lidar_mapper]: Map-rebase cooldown: 6 scans after correction.
[INFO] [1784801545.692087763] [vertical_lidar_mapper]: Floor filter: disabled (drop z <= 0.10 m in 'odom' frame).
[INFO] [1784801545.692111430] [vertical_lidar_mapper]: PCD export service: '/vertical_lidar_mapper/save_pcd' dir='/home/pi5drone/drone_ros_ws/maps/vertical_3d' binary=true
[INFO] [1784801545.692125134] [vertical_lidar_mapper]: SLAM 2D map export on save: disabled (topic='/map' prefix='slam2d_map').
[INFO] [1784801545.692144060] [vertical_lidar_mapper]: Structural GLB export on save: disabled (prefix='lidar2_structural_environment' auto_height=true ceiling=false grid_cap=2000000).
[INFO] [1784801545.692159839] [vertical_lidar_mapper]: Loop-closure dedup-only mode: disabled
[INFO] [1784801545.692172302] [vertical_lidar_mapper]: Global rebuild service: '/vertical_lidar_mapper/rebuild_global' (rebuild_on_map_correction=true corr_trans_th=0.080m corr_yaw_th=0.040rad freeze_scans=6).
[WARN] [1784801546.779859800] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.102s): full-pose buffer has fewer than two samples
[WARN] [1784801548.873208690] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 92.8% of valid beams had interpolated poses
[WARN] [1784801550.878489206] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 92.4% of valid beams had interpolated poses
[WARN] [1784801552.881896583] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.102s): only 92.3% of valid beams had interpolated poses
[WARN] [1784801554.977714428] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 92.3% of valid beams had interpolated poses
[WARN] [1784801557.072274128] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 91.5% of valid beams had interpolated poses
[WARN] [1784801559.171322255] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 93.0% of valid beams had interpolated poses
[WARN] [1784801561.555831141] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.392s): only 92.6% of valid beams had interpolated poses
[WARN] [1784801563.568240532] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 93.8% of valid beams had interpolated poses
[WARN] [1784801565.664616864] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 91.9% of valid beams had interpolated poses
[WARN] [1784801567.665104670] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 92.3% of valid beams had interpolated poses
[WARN] [1784801569.764435268] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.099s): only 92.6% of valid beams had interpolated poses
[WARN] [1784801571.860918721] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.098s): only 92.1% of valid beams had interpolated poses
[WARN] [1784801573.957103632] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 92.8% of valid beams had interpolated poses
[WARN] [1784801575.961607375] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.102s): only 92.8% of valid beams had interpolated poses
[WARN] [1784801578.054321226] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 92.3% of valid beams had interpolated poses
