[INFO] [1784802909.493534638] [vertical_lidar_mapper]: vertical_lidar_mapper started. scan_topic='/scan_vertical' target_frame='odom' local_voxel=0.100 global_voxel=0.080 global_cap=400000 global_publish=3.0Hz revoxel_every=10
[INFO] [1784802909.493903669] [vertical_lidar_mapper]: Global integration mode: keyframe (keyframe_min_translation=0.030m keyframe_min_yaw=0.025rad keyframe_max_interval=0.100s max_keyframes=10000).
[INFO] [1784802909.493954547] [vertical_lidar_mapper]: Full-pose deskew: enabled (required=true odom_topic='/mavros/local_position/odom' odom_frame='odom' stamp_reference='start' pose_gap<=0.100s output='/vertical_points_deskewed').
[INFO] [1784802909.493972673] [vertical_lidar_mapper]: Stable integration gate: enabled (odom_age<=0.200s |yaw_rate|<=0.700rad/s |vertical_speed|<=0.400m/s tilt_rate<=0.450rad/s).
[INFO] [1784802909.493991003] [vertical_lidar_mapper]: Map-rebase: disabled (map_frame='map' odom_frame='odom' trans_th=0.080m yaw_th=0.040rad)
[INFO] [1784802909.494013183] [vertical_lidar_mapper]: Relative-pose gate: disabled (map='map' odom='odom' trans_err_th=0.080m yaw_err_th=0.060rad min_motion=0.030m max_map_step=0.250m max_map_yaw=0.150rad)
[INFO] [1784802909.494059617] [vertical_lidar_mapper]: Map-rebase cooldown: 6 scans after correction.
[INFO] [1784802909.494074799] [vertical_lidar_mapper]: Floor filter: disabled (drop z <= 0.10 m in 'odom' frame).
[INFO] [1784802909.494088667] [vertical_lidar_mapper]: Floor stabilization: enabled (percentile=0.10 band=0.08m min_points=30 max_correction=0.25m drop_failure=true).
[INFO] [1784802909.494131583] [vertical_lidar_mapper]: PCD export service: '/vertical_lidar_mapper/save_pcd' dir='/home/pi5drone/drone_ros_ws/maps/vertical_3d' binary=true
[INFO] [1784802909.494148672] [vertical_lidar_mapper]: SLAM 2D map export on save: disabled (topic='/map' prefix='slam2d_map').
[INFO] [1784802909.494160651] [vertical_lidar_mapper]: Structural GLB export on save: disabled (prefix='lidar2_structural_environment' auto_height=true ceiling=false grid_cap=2000000).
[INFO] [1784802909.494174185] [vertical_lidar_mapper]: Loop-closure dedup-only mode: disabled
[INFO] [1784802909.494189886] [vertical_lidar_mapper]: Global rebuild service: '/vertical_lidar_mapper/rebuild_global' (rebuild_on_map_correction=true corr_trans_th=0.080m corr_yaw_th=0.040rad freeze_scans=6).
[WARN] [1784802909.930230347] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): full-pose buffer has fewer than two samples
[WARN] [1784802912.021022013] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): full-pose buffer has fewer than two samples
[WARN] [1784802914.023293207] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): full-pose buffer has fewer than two samples
[WARN] [1784802916.117191177] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.103s): full-pose buffer has fewer than two samples
[WARN] [1784802918.119610715] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.099s): full-pose buffer has fewer than two samples
[WARN] [1784802920.211400390] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.097s): full-pose buffer has fewer than two samples
[WARN] [1784802922.216468293] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.096s): full-pose buffer has fewer than two samples
[WARN] [1784802924.305541765] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.098s): full-pose buffer has fewer than two samples
[WARN] [1784802926.307165871] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): full-pose buffer has fewer than two samples
[WARN] [1784802928.404266320] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): full-pose buffer has fewer than two samples
[WARN] [1784802930.501400226] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): full-pose buffer has fewer than two samples
[WARN] [1784802932.599127031] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): full-pose buffer has fewer than two samples
[WARN] [1784802934.694829187] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.099s): full-pose buffer has fewer than two samples
[WARN] [1784802936.697472169] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): full-pose buffer has fewer than two samples
[WARN] [1784802938.794489351] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.102s): full-pose buffer has fewer than two samples
[WARN] [1784802940.888815931] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): full-pose buffer has fewer than two samples
[WARN] [1784802942.984505103] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.098s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802945.085088661] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802947.178165273] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802949.275467426] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802951.372348842] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802953.672554786] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.401s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802955.763967841] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): no bracketing full-pose samples at scan reference timestamp
[INFO] [1784802956.466968259] [vertical_lidar_mapper]: Initialized floor stabilization reference at z=-1.560m in frame 'odom'.
[WARN] [1784802957.768426770] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.103s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802959.858991905] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802961.859412378] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.098s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802963.955094791] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802966.055734301] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802968.151488503] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802970.249048000] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.098s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802972.251944389] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802974.347581365] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802976.444326053] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.099s): only 94.3% of valid beams had interpolated poses
[WARN] [1784802978.450737707] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.102s): only 93.8% of valid beams had interpolated poses
[WARN] [1784802980.542016000] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): no bracketing full-pose samples at scan reference timestamp
[WARN] [1784802982.546170695] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 94.2% of valid beams had interpolated poses
[WARN] [1784802984.641609087] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.102s): only 94.5% of valid beams had interpolated poses
[WARN] [1784802986.733064024] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 94.5% of valid beams had interpolated poses
[WARN] [1784802988.926333898] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 94.2% of valid beams had interpolated poses
[WARN] [1784802990.931279060] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 93.7% of valid beams had interpolated poses
[WARN] [1784802993.024764766] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.103s): only 94.5% of valid beams had interpolated poses
[WARN] [1784802995.123934010] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 94.5% of valid beams had interpolated poses
[WARN] [1784802997.222449005] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 94.5% of valid beams had interpolated poses
[WARN] [1784802999.223703816] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.101s): only 94.3% of valid beams had interpolated poses
[WARN] [1784803001.312995308] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.100s): only 94.5% of valid beams had interpolated poses
[WARN] [1784803003.613146912] [vertical_lidar_mapper]: Vertical scan deskew failed (scan_age=0.403s): only 94.5% of valid beams had interpolated poses
